"probe_id","symbol"
"283_at","ANG"
"284_at","ANGPT1"
"285_at","ANGPT2"
"286_at","ANK1"
"287_at_AB_35:45","ANK2"
"287_at_AB_12:17;19:34","ANK2"
"287_at_AB_1:11;18","ANK2"
"288_at","ANK3"
"290_at","ANPEP"
"291_at","SLC25A4"
"292_at","SLC25A5"
"293_at","SLC25A6"
"301_at","ANXA1"
"302_at","ANXA2"
"303_at","ANXA2P1"
"305_at","ANXA2P3"
"306_at","ANXA3"
"307_at_AB_24:45","ANXA4"
"307_at_AB_1:3;13:23","ANXA4"
"307_at_AB_4:12;46:70","ANXA4"
"308_at","ANXA5"
"309_at","ANXA6"
"310_at","ANXA7"
"311_at","ANXA11"
"312_at","ANXA13"
"313_at","AOAH"
"314_at","AOC2"
"316_at","AOX1"
"317_at","APAF1"
"318_at","NUDT2"
"319_at","APOF"
"320_at","APBA1"
"321_at","APBA2"
"322_at","APBB1"
"323_at_AB_31:74","APBB2"
"323_at_AB_1:30","APBB2"
"324_at","APC"
"325_at","APCS"
"326_at","AIRE"
"327_at","APEH"
"328_at","APEX1"
"329_at_AB_1:16","BIRC2"
"329_at_AB_17:46","BIRC2"
"330_at","BIRC3"
"331_at","XIAP"
"332_at_AB_29:45","BIRC5"
"332_at_AB_1:28;46:94","BIRC5"
"333_at","APLP1"
"334_at_AB_1:10","APLP2"
"334_at_AB_11:21","APLP2"
"334_at_AB_22:36","APLP2"
"335_at","APOA1"
"336_at","APOA2"
"337_at","APOA4"
"338_at","APOB"
"339_at","APOBEC1"
"341_at","APOC1"
"342_at","APOC1P1"
"343_at","AQP8"
"345_at","APOC3"
"347_at","APOD"
"348_at","APOE"
"350_at","APOH"
"351_at_AB_90:120","APP"
"351_at_AB_6:58","APP"
"351_at_AB_1:5;59:89","APP"
"353_at","APRT"
"354_at","KLK3"
"355_at","FAS"
"356_at","FASLG"
"357_at","SHROOM2"
"358_at_AB_1:25","AQP1"
"358_at_AB_26:37","AQP1"
"359_at","AQP2"
"360_at_AB_1:15","AQP3"
"360_at_AB_16:26","AQP3"
"361_at","AQP4"
"362_at","AQP5"
"363_at","AQP6"
"364_at","AQP7"
"366_at_AB_1:17","AQP9"
"366_at_AB_18:28","AQP9"
"367_at","AR"
"368_at","ABCC6"
"369_at","ARAF"
"372_at_AB_16:26","ARCN1"
"372_at_AB_1:15","ARCN1"
"373_at","TRIM23"
"374_at","AREG"
"375_at","ARF1"
"377_at","ARF3"
"378_at","ARF4"
"379_at","ARL4D"
"381_at","ARF5"
"382_at","ARF6"
"383_at","ARG1"
"384_at","ARG2"
"387_at_AB_1:22","RHOA"
"387_at_AB_23:39","RHOA"
"388_at","RHOB"
"389_at","RHOC"
"390_at_AB_1:11","RND3"
"390_at_AB_12:33","RND3"
"391_at","RHOG"
"392_at_AB_10:20","ARHGAP1"
"392_at_AB_1:9","ARHGAP1"
"393_at_AB_1:22","ARHGAP4"
"393_at_AB_23:36","ARHGAP4"
"394_at_AB_40:54","ARHGAP5"
"394_at_AB_1:39","ARHGAP5"
"395_at","ARHGAP6"
"396_at_AB_5:10","ARHGDIA"
"396_at_AB_22:34","ARHGDIA"
"396_at_AB_1:4;11:21","ARHGDIA"
"397_at_AB_11:22","ARHGDIB"
"397_at_AB_1:10","ARHGDIB"
"398_at","ARHGDIG"
"399_at","RHOH"
"400_at_AB_40:62","ARL1"
"400_at_AB_1:39","ARL1"
"401_at","PHOX2A"
"402_at","ARL2"
"403_at","ARL3"
"405_at_AB_31:50","ARNT"
"405_at_AB_1:30","ARNT"
"406_at","BMAL1"
"407_at","ARR3"
"408_at","ARRB1"
"409_at","ARRB2"
"410_at","ARSA"
"411_at","ARSB"
"412_at","STS"
"414_at","ARSD"
"415_at","ARSL"
"416_at","ARSF"
"417_at","ART1"
"419_at","ART3"
"420_at","ART4"
"421_at","ARVCF"
"427_at_AB_27:37","ASAH1"
"427_at_AB_1:14","ASAH1"
"427_at_AB_15:26","ASAH1"
"429_at","ASCL1"
"430_at","ASCL2"
"432_at","ASGR1"
"433_at_AB_1:10","ASGR2"
"433_at_AB_11:20","ASGR2"
"434_at","ASIP"
"435_at","ASL"
"438_at","ASMT"
"439_at","GET3"
"440_at","ASNS"
"443_at","ASPA"
"444_at_AB_21:38","ASPH"
"444_at_AB_1:20;39:78","ASPH"
"445_at","ASS1"
"460_at","ASTN1"
"462_at","SERPINC1"
"463_at","ZFHX3"
"466_at","ATF1"
"467_at_AB_16:43","ATF3"
"467_at_AB_1:15;44:57","ATF3"
"468_at","ATF4"
"471_at","ATIC"
"472_at","ATM"
"473_at_AB_42:52","RERE"
"473_at_AB_1:41","RERE"
"474_at","ATOH1"
"475_at","ATOX1"
"476_at","ATP1A1"
"477_at_AB_27:48","ATP1A2"
"477_at_AB_1:26","ATP1A2"
"478_at","ATP1A3"
"479_at","ATP12A"
"480_at","ATP1A4"
"481_at","ATP1B1"
"482_at","ATP1B2"
"483_at","ATP1B3"
"487_at","ATP2A1"
"488_at_AB_19:51","ATP2A2"
"488_at_AB_1:18","ATP2A2"
"489_at","ATP2A3"
"490_at","ATP2B1"
"491_at","ATP2B2"
"492_at","ATP2B3"
"493_at","ATP2B4"
"495_at","ATP4A"
"496_at","ATP4B"
"498_at_AB_15:19","ATP5F1A"
"498_at_AB_1:14","ATP5F1A"
"501_at_AB_1:8","ALDH7A1"
"501_at_AB_9:24","ALDH7A1"
"506_at","ATP5F1B"
"509_at","ATP5F1C"
"513_at","ATP5F1D"
"515_at","ATP5PB"
